Time,Elapsed Time,TC01,TC02,TC03,TC04,TC05,TC06,TC07,TC08,TC09,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TC26,TC27,TC28,HEATER01,PELTIER01,PELTIER02,STA,PT01,MTR1_OST,MTR1_SPEED,MTR1_POS,MTR1_GRC,MTR2_OST,MTR2_SPEED,MTR2_POS,MTR2_GRC,MTR3_OST,MTR3_SPEED,MTR3_POS,MTR3_GRC,MTR4_OST,MTR4_SPEED,MTR4_POS,MTR4_GRC
12/08/2021 21:19:57.7980,30.010742,19.881381,20.286092,19.578279,20.873799,20.848102,20.602675,20.974731,20.227027,20.428994,20.497080,20.339364,20.585308,20.284471,20.117692,20.132749,20.675614,21.044869,19.964790,20.048193,19.998384,20.647365,20.221236,20.133676,20.180700,20.498701,20.150818,19.913587,20.814532,20.106109,20.550574,20.284934,20.146880,-0.007155,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:58.7963,31.009068,19.873040,20.288872,19.559275,20.886995,20.882365,20.611475,21.023805,20.214287,20.376421,20.487122,20.278680,20.605454,20.351871,20.044023,20.085955,20.650839,21.007370,19.933513,20.029428,19.990275,20.641808,20.192282,20.141783,20.170044,20.363219,20.141783,19.927489,20.799021,20.130896,20.554047,20.268489,20.160779,-0.007155,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:59.7956,32.008394,19.871418,20.333573,19.584769,20.888152,20.916858,20.611011,21.044406,20.218688,20.387538,20.525564,20.266173,20.612864,20.372715,19.940000,19.975679,20.616800,21.009222,19.936525,20.050047,20.023173,20.673993,20.206875,20.170739,20.212434,20.273584,20.159620,19.936061,20.733730,20.099623,20.574193,20.275901,20.106804,0.069612,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:20:00.7959,33.008718,19.944865,20.371557,19.670052,20.901579,20.919636,20.634399,21.042554,20.240230,20.410929,20.505417,20.183943,20.521164,20.311802,19.938146,19.932354,20.529732,21.046721,19.996299,20.078773,20.033598,20.652228,20.240230,20.160779,20.201316,20.253201,20.153597,19.935366,20.678393,20.142247,20.570025,20.271268,20.016223,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:20:01.7963,34.009042,19.896442,20.355345,19.623008,20.917784,20.935378,20.642966,21.100420,20.266173,20.380126,20.500322,20.192050,20.505880,20.263856,19.970119,19.949267,20.491985,21.093477,19.956681,20.017150,19.978923,20.670057,20.219847,20.143868,20.185101,20.290493,20.169581,19.968961,20.692517,20.187186,20.594339,20.297905,20.002091,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:20:02.7956,35.008369,19.973826,20.322224,19.678395,20.973574,20.959453,20.668668,21.160367,20.292346,20.480869,20.570257,20.200621,20.545247,20.278449,19.953438,19.939305,20.536679,21.140694,20.063483,20.116765,20.056533,20.724932,20.242547,20.180700,20.224248,20.276827,20.207570,20.004871,20.717754,20.220310,20.608233,20.299758,20.023868,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:20:03.7959,36.008693,19.943012,20.401434,19.728218,21.018712,21.000194,20.705251,21.167310,20.340522,20.551731,20.628841,20.241620,20.611475,20.351176,20.033830,20.000237,20.573962,21.208044,20.031050,20.076457,20.028965,20.750169,20.219847,20.154061,20.184869,20.305780,20.159852,19.955523,20.753179,20.186259,20.568404,20.211276,20.016686,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:20:04.7962,37.009015,19.829943,20.304853,19.626484,20.993481,20.930748,20.672604,21.139074,20.291651,20.356966,20.451226,20.230502,20.521395,20.401665,20.043792,20.045877,20.546174,21.126807,19.929806,19.945329,19.882308,20.718912,20.126031,20.034293,20.062325,20.349091,20.089430,19.873503,20.795548,20.167496,20.521164,20.187881,20.038695,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:20:05.7956,38.008395,19.763440,20.122556,19.529146,20.909913,20.774711,20.604991,21.052276,20.214982,20.289335,20.389159,20.237219,20.479943,20.415098,20.078310,20.101476,20.531585,21.076117,19.865162,19.890186,19.843845,20.707335,20.151976,20.132286,20.170508,20.411392,20.181858,19.978923,20.821941,20.243241,20.558447,20.254128,20.040780,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:20:06.7969,39.009717,19.754403,20.073445,19.492526,20.884448,20.683255,20.573499,20.994870,20.177225,20.249032,20.360903,20.256444,20.454700,20.457016,20.098001,20.129043,20.535058,21.032138,19.835967,19.873272,19.843845,20.709882,20.172361,20.191587,20.209423,20.445437,20.197841,20.003249,20.828886,20.267099,20.567710,20.292114,20.052363,0.044023,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
